,city id,city,lat,temp,humidity,cloudiness,wind speed
0,3369157,Cape Town,-33.9258,19.53,88,0,5.14
1,2017155,Saskylakh,71.9167,-30.54,83,0,3.03
2,4031637,Lavrentiya,65.5833,-32.1,80,0,4.15
3,2075265,Busselton,-33.65,17.71,68,61,0.89
4,3402648,Carutapera,-1.195,25.87,83,100,2.75
5,3874787,Punta Arenas,-53.15,12.89,82,90,3.09
6,4032243,Vaini,-21.2,30.0,74,40,5.14
7,6201424,Mataura,-46.1927,10.79,82,100,5.86
8,2510075,Utiel,39.5667,8.93,62,0,2.57
9,2015306,Tiksi,71.6872,-24.34,89,8,1.8
10,3576994,Cockburn Town,21.4612,25.0,73,40,3.09
11,2108502,Honiara,-9.4333,30.26,64,97,2.24
12,1486321,Yar-Sale,66.8333,-30.89,85,93,6.01
13,3439525,Young,-32.6833,20.0,95,100,2.89
14,3663142,Novo Aripuanã,-5.1206,23.49,96,98,0.98
15,933995,Souillac,-20.5167,26.0,78,40,6.17
16,1816336,Binzhou,37.3667,13.33,46,0,0.89
17,1629965,Tanete,-3.9443,33.51,48,44,2.48
18,3448903,São João da Barra,-21.6403,23.96,88,99,1.69
19,2396853,Omboué,-1.5746,25.88,89,100,0.79
20,1651810,Airai,-8.9266,22.77,80,97,0.92
21,3420768,Qasigiannguit,68.8193,-12.0,67,20,5.14
22,6185377,Yellowknife,62.456,-24.0,77,20,2.06
23,935215,Saint-Philippe,-21.3585,22.38,73,0,3.09
24,2961459,Skibbereen,51.55,2.0,64,75,9.26
25,2109701,Auki,-8.7676,28.42,80,94,4.19
26,2264557,Ponta do Sol,32.6667,13.11,77,86,0.45
27,4030556,Rikitea,-23.1203,25.83,77,3,6.05
28,2939623,Dachau,48.26,-8.68,87,100,3.46
29,2632287,Dalvik,65.9702,-8.0,93,90,1.03
30,3833367,Ushuaia,-54.8,19.0,45,40,6.17
31,5866583,Saint Paul Harbor,57.79,3.0,75,90,13.89
32,1633419,Padang,-0.9492,27.0,74,20,0.51
33,5855927,Hilo,19.7297,22.45,53,75,4.12
34,1633034,Liku,-0.7275,31.12,57,100,0.34
35,2110227,Butaritari,3.0707,27.61,76,100,6.58
36,1337607,Kudahuvadhoo,2.6708,27.06,78,60,5.95
37,139889,Būkān,36.521,4.25,63,0,1.77
38,1684803,Tabuk,17.4189,26.38,72,14,1.8
39,212730,Kisangani,0.5167,22.33,59,100,1.06
40,3471451,Arraial do Cabo,-22.9661,23.56,82,100,2.03
41,5880054,Barrow,71.2906,-38.0,85,1,4.12
42,3382226,Camopi,3.1655,21.94,98,100,1.09
43,1735106,George Town,5.4112,27.32,78,20,1.54
44,964432,Port Alfred,-33.5906,21.67,94,16,2.78
45,6062069,Lunenburg,44.3835,-7.31,73,86,4.12
46,1490918,Staryy Nadym,65.6118,-29.02,86,100,6.93
47,2155415,New Norfolk,-42.7826,22.98,31,91,0.89
48,1637001,Luwuk,-0.9516,30.73,59,100,1.07
49,480267,Turki,51.987,-9.19,97,100,3.98
50,2122090,Pevek,69.7008,-25.9,70,0,0.24
51,3439389,Asunción,-25.3007,20.0,94,90,4.12
52,3403395,Cândido Mendes,-1.4467,25.31,86,100,1.76
53,3430863,Mar del Plata,-38.0023,19.71,83,90,7.2
54,5122534,Jamestown,42.097,-8.01,86,90,2.57
55,2136825,Isangel,-19.55,31.0,66,40,2.57
56,5364271,Laguna,38.421,16.73,59,1,2.57
57,1495626,Pangody,65.85,-28.73,87,100,5.74
58,1254046,Tura,25.5198,19.39,42,0,0.61
59,3440777,Rocha,-34.4833,19.38,93,97,3.56
60,3984997,San Quintín,30.4833,13.55,77,1,6.0
61,1737486,Bintulu,3.1667,27.89,89,40,1.59
62,3424607,Tasiilaq,65.6145,-14.0,61,20,2.06
63,3995236,Mulegé,26.8833,15.89,65,0,0.63
64,214575,Kampene,-3.6,20.78,93,100,1.02
65,3374210,São Filipe,14.8961,22.05,68,23,3.4
66,2304548,Anloga,5.7947,28.0,89,20,4.63
67,2163355,Hobart,-42.8794,22.68,40,0,2.06
68,5848280,Kapaa,22.0752,23.0,53,40,4.63
69,1337619,Ugoofaaru,5.6667,27.25,63,41,2.77
70,3083829,Szczecin,53.4289,-8.27,92,75,0.51
71,2618795,Klaksvík,62.2266,-4.0,86,20,0.51
72,3839307,Rawson,-43.3002,21.25,54,0,14.67
73,5106841,Albany,42.6001,-7.44,48,100,1.34
74,2177254,Bagotville,-28.9833,25.52,65,75,5.14
75,3466165,Cidreira,-30.1811,23.01,83,87,6.55
76,2068655,Katherine,-14.4667,31.0,66,40,2.57
77,3361934,Saldanha,-33.0117,18.0,77,0,2.57
78,4033557,Tautira,-17.7333,28.94,61,75,5.14
79,3421765,Nanortalik,60.1432,-5.37,87,19,4.82
80,2070998,Geraldton,-28.7667,25.0,36,0,8.23
81,3372707,Ribeira Grande,38.5167,14.62,65,45,15.33
82,2392087,Porto-Novo,6.4965,29.0,84,40,6.17
83,2126199,Cherskiy,68.75,-23.49,87,0,1.56
84,1514792,Gazojak,41.1875,0.4,94,2,4.26
85,1006984,East London,-33.0153,23.51,89,1,4.51
86,3393536,Olinda,-8.0089,27.0,69,40,4.63
87,3120811,Hernani,43.2662,7.29,93,0,1.54
88,2122493,Omsukchan,62.5333,-13.2,92,53,2.24
89,2093967,Kimbe,-5.5502,27.31,81,97,2.21
90,4272340,Great Bend,38.3645,-12.2,72,1,5.66
91,2331939,Lokoja,7.8024,25.86,54,22,0.8
92,2126123,Chokurdakh,70.6333,-24.22,89,44,2.87
93,546105,Nikolskoye,59.7035,-15.23,85,20,1.77
94,5882953,Aklavik,68.2191,-32.52,75,0,1.03
95,1491267,Sos'va,59.1766,-29.42,85,25,1.22
96,5282297,Bethel,41.3712,-5.07,79,90,0.58
97,4034551,Faanui,-16.4833,27.82,69,2,7.14
98,2138555,Poum,-20.2333,26.27,74,2,7.3
99,5095779,Bloomfield,40.8068,0.2,51,90,0.91
100,3366880,Hermanus,-34.4187,20.56,85,7,1.79
101,5797693,Hoquiam,46.9809,5.16,61,90,2.57
